gid_1,name_1,Population,GDP,GDP_per_capita,Cells,year
LKA.10_1,Kalutara,1.8439786997252376,22303.88325801449,12095.521093241416,4.0,2012
LKA.11_1,Kandy,0.20714207079707453,2073.8478929161734,10011.717489045506,2.0,2012
LKA.12_1,Kegalle,1.9643469850093072,23145.519904653767,11782.806236009319,3.0,2012
LKA.13_1,Kilinochchi,0.3190000534982232,4318.764217435401,13538.443552202905,4.0,2012
LKA.14_1,Kurunegala,1.2491519764934438,13184.91748795507,10555.094765143873,6.0,2012
LKA.15_1,Mannar,0.10288231343210799,952.405634881904,9257.23385400345,5.0,2012
LKA.16_1,Matale,0.23902642573050398,2476.8315515322383,10362.166208035931,3.0,2012
LKA.17_1,Matara,0.8348781994134621,10115.03977513775,12115.587378187622,4.0,2012
LKA.18_1,Moneragala,0.5423035112366548,5494.574999385479,10131.918539225006,8.0,2012
LKA.19_1,Mullaitivu,0.13989088416994125,1454.6712558350905,10398.613637096876,4.0,2012
LKA.1_1,Ampara,0.624744929827652,9385.100745951828,15022.291975288044,6.0,2012
LKA.20_1,Nuwara Eliya,0.7088591810052808,8452.757391208608,11924.452158778822,2.0,2012
LKA.21_1,Polonnaruwa,0.374638838452108,3872.457502457382,10336.508404887172,4.0,2012
LKA.22_1,Puttalam,0.8122182620890931,8552.676127484277,10530.021949378584,11.0,2012
LKA.23_1,Ratnapura,1.4615809859673514,16031.122749976359,10968.343802971764,5.0,2012
LKA.24_1,Trincomalee,0.19600332742128004,2806.3835288213127,14318.040238109877,4.0,2012
LKA.25_1,Vavuniya,0.16300893302051317,1637.1400407449835,10043.253522424839,4.0,2012
LKA.2_1,Anuradhapura,0.714356519319714,7339.474002192213,10274.245147481315,9.0,2012
LKA.3_1,Badulla,0.5733390124597673,6089.593273392422,10621.278407807187,3.0,2012
LKA.4_1,Batticaloa,0.22185346220640056,3651.865505670317,16460.710008090013,4.0,2012
LKA.5_1,Colombo,3.5547661372383956,55802.31085663824,15697.885234157651,2.0,2012
LKA.6_1,Galle,1.6887296784619195,21260.11951850504,12589.415458055177,6.0,2012
LKA.7_1,Gampaha,1.6432294612666671,20765.17690827982,12636.809038387852,3.0,2012
LKA.8_1,Hambantota,0.6958258044396702,7265.892086775642,10442.113587073232,8.0,2012
LKA.9_1,Jaffna,0.2937023473182296,3084.9581591541764,10503.689151015167,6.0,2012
LKA.10_1,Kalutara,1.8547347011741055,23145.599024323645,12479.196625626162,4.0,2013
LKA.11_1,Kandy,0.20907843742783255,2153.52025584273,10300.059070347983,2.0,2013
LKA.12_1,Kegalle,1.982826799946349,24050.93950335554,12129.621963958883,3.0,2013
LKA.13_1,Kilinochchi,0.32437906919159304,4444.9817237828465,13703.04728619046,4.0,2013
LKA.14_1,Kurunegala,1.2559585353140885,13665.289355132973,10880.366644998812,6.0,2013
LKA.15_1,Mannar,0.10382172200428244,986.4835915275894,9501.707084832391,5.0,2013
LKA.16_1,Matale,0.2406991347902202,2558.6020050135985,10629.876203101152,3.0,2013
LKA.17_1,Matara,0.842693919295623,10485.792564229825,12443.180523949331,4.0,2013
LKA.18_1,Moneragala,0.5468051243674077,5662.2424853103075,10355.137933026666,8.0,2013
LKA.19_1,Mullaitivu,0.14123738556089271,1494.7888152122555,10583.520852329826,4.0,2013
LKA.1_1,Ampara,0.6325052555781183,9677.812360329965,15300.76196992911,6.0,2013
LKA.20_1,Nuwara Eliya,0.7155221669896779,8780.4065468671,12271.327083838292,2.0,2013
LKA.21_1,Polonnaruwa,0.3766904417337468,3991.416453066565,10596.012032308978,4.0,2013
LKA.22_1,Puttalam,0.819732986992677,8825.525324957738,10766.34155877465,11.0,2013
LKA.23_1,Ratnapura,1.4754928141634394,16650.50274753916,11284.706091218413,5.0,2013
LKA.24_1,Trincomalee,0.19834970860988052,2905.904546592741,14650.409960057725,4.0,2013
LKA.25_1,Vavuniya,0.16422425773041974,1689.4581227606911,10287.506523756068,4.0,2013
LKA.2_1,Anuradhapura,0.7264169109537489,7686.135343280525,10580.887128837647,9.0,2013
LKA.3_1,Badulla,0.5789871604426109,6303.243869896084,10886.672970567299,3.0,2013
LKA.4_1,Batticaloa,0.2228203411478477,3759.8241560721167,16873.792296984975,4.0,2013
LKA.5_1,Colombo,3.588119593697733,58048.00811119052,16177.835380166132,2.0,2013
LKA.6_1,Galle,1.7009527961345825,21990.62381373634,12928.415099884054,6.0,2013
LKA.7_1,Gampaha,1.6586573248767313,21473.42101509399,12946.267256673924,3.0,2013
LKA.8_1,Hambantota,0.7019628799303937,7494.417068795692,10676.37233116776,8.0,2013
LKA.9_1,Jaffna,0.29615753194599564,3198.4049460894666,10799.67450117965,6.0,2013
LKA.10_1,Kalutara,1.8709424199579379,23812.87924085874,12727.745646706806,4.0,2014
LKA.11_1,Kandy,0.21140587628743523,2215.022184766627,10477.580962579304,2.0,2014
LKA.12_1,Kegalle,2.00042250437902,24849.952906403993,12422.352204100018,3.0,2014
LKA.13_1,Kilinochchi,0.32696376126793714,4663.771569341838,14263.879126102953,4.0,2014
LKA.14_1,Kurunegala,1.2682133321618343,14037.021852532293,11068.34433651976,6.0,2014
LKA.15_1,Mannar,0.10474471748948332,1018.147457263613,9720.274985378981,5.0,2014
LKA.16_1,Matale,0.24275130647670617,2640.140915267778,10875.908161265115,3.0,2014
LKA.17_1,Matara,0.8543387501477769,10772.89884832756,12609.633879376473,4.0,2014
LKA.18_1,Moneragala,0.5499636926574716,5810.900300270998,10565.970768346962,8.0,2014
LKA.19_1,Mullaitivu,0.14237769294566188,1521.420770556919,10685.808563688173,4.0,2014
LKA.1_1,Ampara,0.6381594001899514,9802.986853208244,15361.34522235406,6.0,2014
LKA.20_1,Nuwara Eliya,0.7219186705375672,8969.225956991551,12424.150147429677,2.0,2014
LKA.21_1,Polonnaruwa,0.3800578966093748,4135.476358501084,10881.17467205673,4.0,2014
LKA.22_1,Puttalam,0.8259229447942331,9098.380625660098,11016.01630395052,11.0,2014
LKA.23_1,Ratnapura,1.4888332674458842,17058.51390754382,11457.638864295366,5.0,2014
LKA.24_1,Trincomalee,0.20009907997453835,2994.5958949015658,14965.565535246908,4.0,2014
LKA.25_1,Vavuniya,0.16489691535550832,1775.4612637224427,10767.098098194558,4.0,2014
LKA.2_1,Anuradhapura,0.7339171694222978,7910.251001535547,10778.125013429097,9.0,2014
LKA.3_1,Badulla,0.5854209679701614,6489.507253574403,11085.19784673167,3.0,2014
LKA.4_1,Batticaloa,0.22478052106845248,3235.490923708108,14394.000460221387,4.0,2014
LKA.5_1,Colombo,3.619596595578252,59969.66664891567,16568.052562038385,2.0,2014
LKA.6_1,Galle,1.7115013475265928,21876.289173722802,12781.929272412037,6.0,2014
LKA.7_1,Gampaha,1.673517854125467,22496.15573440955,13442.43545352876,3.0,2014
LKA.8_1,Hambantota,0.7082277299778255,7801.5647569092125,11015.616060604516,8.0,2014
LKA.9_1,Jaffna,0.2984815856526282,3264.590101105562,10937.324974227657,6.0,2014
LKA.10_1,Kalutara,1.8876390219786467,25098.572144156577,13296.27744071954,4.0,2015
LKA.11_1,Kandy,0.2126361576945079,2333.694920485277,10975.061559558802,2.0,2015
LKA.12_1,Kegalle,2.018453382239647,26166.83756237961,12963.805749799016,3.0,2015
LKA.13_1,Kilinochchi,0.32986121892380826,4843.909546462618,14684.689404429413,4.0,2015
LKA.14_1,Kurunegala,1.2757651339852885,14866.193435574043,11652.766672760845,6.0,2015
LKA.15_1,Mannar,0.1037839450374307,1084.874276733621,10453.199445659446,5.0,2015
LKA.16_1,Matale,0.24925597151799733,2807.3824055286154,11263.049741321485,3.0,2015
LKA.17_1,Matara,0.8623298296408897,11508.471560302067,13345.78854252865,4.0,2015
LKA.18_1,Moneragala,0.5494453901921721,6097.876709486277,11098.239822074956,8.0,2015
LKA.19_1,Mullaitivu,0.1436316577844938,1617.0685788785584,11258.441236574894,4.0,2015
LKA.1_1,Ampara,0.6451082938607273,10324.206444308787,16003.834615925252,6.0,2015
LKA.20_1,Nuwara Eliya,0.7281393876164857,9583.122008546236,13161.109221018696,2.0,2015
LKA.21_1,Polonnaruwa,0.3784527554644876,4359.265580511449,11518.65197853079,4.0,2015
LKA.22_1,Puttalam,0.8348538296541944,9622.279939595766,11525.706174913781,11.0,2015
LKA.23_1,Ratnapura,1.505594646074639,18124.139567765178,12037.86132942099,5.0,2015
LKA.24_1,Trincomalee,0.2015369521181363,3105.0663993295307,15406.933402016582,4.0,2015
LKA.25_1,Vavuniya,0.164918174538282,1859.3893819515893,11274.617774282811,4.0,2015
LKA.2_1,Anuradhapura,0.7404427082969319,8383.526370222593,11322.31606346056,9.0,2015
LKA.3_1,Badulla,0.5903635426143722,6882.090310756738,11657.37687710189,3.0,2015
LKA.4_1,Batticaloa,0.22720677944871953,3365.524765328842,14812.607147967781,4.0,2015
LKA.5_1,Colombo,3.6581193023206446,63110.12056742471,17252.06734711708,2.0,2015
