province,Population,GDP,GDP_per_capita,Districts,Cells,year
Central,1.1550276775328594,13003.436835657018,11258.11708982799,3.0,7.0,2012
Eastern,1.0426017194553325,15843.349780443456,15195.975111877055,3.0,14.0,2012
North Central,1.0889953577718219,11211.931504649596,10295.665105120532,2.0,13.0,2012
North Western,2.0613702385825365,21737.59361543935,10545.21560881116,2.0,17.0,2012
Northern,1.0184845314390154,11447.939308051555,11240.170031720341,5.0,23.0,2012
Sabaragamuwa,3.425927970976659,39176.64265463013,11435.33751629393,2.0,8.0,2012
Southern,3.2194336823150516,38641.05138041843,12002.437445032932,3.0,18.0,2012
Uva,0.5733390124597673,6089.593273392422,10621.278407807187,1.0,3.0,2012
Western,7.041974298230301,98871.37102293254,14040.291377913667,3.0,9.0,2012
Central,1.1652997392077307,13492.528807723429,11578.59077261683,3.0,7.0,2013
Eastern,1.0536753053358467,16343.54106299482,15510.984247453258,3.0,14.0,2013
North Central,1.1031073526874957,11677.551796347088,10586.0519992883,2.0,13.0,2013
North Western,2.0756915223067653,22490.814680090712,10835.335809001203,2.0,17.0,2013
Northern,1.0298199664331833,11814.117199372848,11472.0218916433,5.0,23.0,2013
Sabaragamuwa,3.4583196141097887,40701.4422508947,11769.13842342236,2.0,8.0,2013
Southern,3.245609595360599,39970.83344676186,12315.354719155912,3.0,18.0,2013
Uva,0.5789871604426109,6303.243869896084,10886.672970567299,1.0,3.0,2013
Western,7.10151161974857,102667.02815060815,14457.066839840374,3.0,9.0,2013
Central,1.1760758533017088,13824.389057025955,11754.674682092522,3.0,7.0,2014
Eastern,1.0630390012329425,16033.073671817918,15082.300511291034,3.0,14.0,2014
North Central,1.1139750660316727,12045.727360036632,10813.282745140137,2.0,13.0,2014
North Western,2.094136276956067,23135.40247819239,11047.706270492035,2.0,17.0,2014
Northern,1.0374646727112191,12243.391161990374,11801.260788952524,5.0,23.0,2014
Sabaragamuwa,3.4892557718249035,41908.466813947816,12010.717916511296,2.0,8.0,2014
Southern,3.2740678276521953,40450.75277895958,12354.891501428194,3.0,18.0,2014
Uva,0.5854209679701614,6489.507253574403,11085.19784673167,1.0,3.0,2014
Western,7.164056869661657,106278.70162418394,14834.988548772262,3.0,9.0,2014
Central,1.190031516828991,14724.199334560128,12372.949057513082,3.0,7.0,2015
Eastern,1.0738520254275834,16794.79760896716,15639.768991709872,3.0,14.0,2015
North Central,1.1188954637614195,12742.791950734041,11388.724294132244,2.0,13.0,2015
North Western,2.110618963639483,24488.473375169808,11602.507983223404,2.0,17.0,2015
Northern,1.043309780524402,12858.259129395467,12324.488248286601,5.0,23.0,2015
Sabaragamuwa,3.5240480283142857,44290.97713014479,12568.210414354427,2.0,8.0,2015
Southern,3.3022794554629713,42945.800870930354,13004.89599688027,3.0,18.0,2015
Uva,0.5903635426143722,6882.090310756738,11657.37687710189,1.0,3.0,2015
Western,7.227126833234317,111579.38982985521,15438.969372552257,3.0,9.0,2015
Central,1.1978550072693224,15445.43466474399,12894.243936880152,3.0,7.0,2016
Eastern,1.0876311994360779,18011.817563313612,16560.59294055972,3.0,14.0,2016
North Central,1.1370259079162564,13622.042680304165,11980.415384965396,2.0,13.0,2016
North Western,2.1201582453334415,25810.53158599098,12173.870343310957,2.0,17.0,2016
Northern,1.0480577698403037,13684.199149949663,13056.72219961193,5.0,23.0,2016
Sabaragamuwa,3.5510299144678004,46838.718331274096,13190.17847200927,2.0,8.0,2016
Southern,3.333881893022472,46371.10671110798,13909.043031235966,3.0,18.0,2016
Uva,0.5995041317509804,7347.37894958834,12255.760319997702,1.0,3.0,2016
Western,7.285984563750714,118834.34230392153,16309.99095100298,3.0,9.0,2016
Central,1.211275983232558,16149.73488354998,13332.828444638058,3.0,7.0,2017
Eastern,1.1073034465989666,19324.20943652856,17451.59332419854,3.0,14.0,2017
North Central,1.1515630772731633,14259.854808841746,12383.042744482813,2.0,13.0,2017
North Western,2.137308586389096,26759.38614433335,12520.132242364847,2.0,17.0,2017
Northern,1.0508082992205863,14010.229498830313,13332.811997413886,5.0,23.0,2017
Sabaragamuwa,3.5714225914557023,48504.64425691265,13581.323132399822,2.0,8.0,2017
Southern,3.3545885116090846,47748.586061837705,14233.813147751554,3.0,18.0,2017
Uva,0.6091987443098024,7798.422010978837,12801.113074870393,1.0,3.0,2017
Western,7.349283348110717,124072.1397651437,16882.209310522634,3.0,9.0,2017
Central,1.2331907043588493,16733.48992086896,13569.263749493557,3.0,7.0,2018
Eastern,1.1452808892182442,20422.80898663545,17832.139852238193,3.0,14.0,2018
North Central,1.1910873188395537,14977.805101809561,12574.900987445706,2.0,13.0,2018
North Western,2.1740514415861787,28455.970392418927,13088.913099341187,2.0,17.0,2018
Northern,1.0422682816183153,14423.442391125087,13838.512257832514,5.0,23.0,2018
