Province,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Western,2894428,3243854,3643241,4357581,4365000,4697000,5086000,5558000,5857800,5694300,7494822,10565473,12073982
Central,644332,775580,959918,1075878,1161000,1248000,1622000,1710000,1694600,1692100,1823459,2414274,2844197
Southern,718768,834287,954518,1096767,1106000,1190000,1348000,1440000,1491400,1518000,1614660,2176034,2580739
Northern,242512,277828,311542,348599,452000,495000,550000,588000,717600,689400,752276,974521,1245665
Eastern,379184,478401,542905,604928,625000,681000,749000,815000,854100,849400,963957,1225527,1298136
North Western,655182,760148,887083,1155139,1163000,1262000,1478000,1593000,1639600,1653100,1955294,2672598,3016741
North Central,305975,379243,438896,541558,644000,687000,755000,821000,823300,876300,878248,1151135,1329760
Uva,297335,361975,409972,557104,611000,687000,776000,828000,803500,812100,848002,1161566,1300538
Sabaragamuwa,405596,467238,526155,710926,825000,892000,1054000,1097000,1131100,1188200,1269383,1722635,1939907
Sri Lanka Total,6543312,7578554,8674230,10448480,10952000,11839000,13418000,14450000,15013000,14972900,17600101,24063763,27629665
